id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,fyp,foryou,foryoupage,viral,funny,comedy
6941376008352288005,75.0,14,4,6726373678949008389,0,591,3332,677600,40,22800,6941375731557534470,1,13,14,652800,4163,3200000,3761,2,0,0,0,0,0,0
6942891832015736069,27.0,16,1,88943792963059712,0,212,16900,1300000,94,5959,6942891666302896901,1,14,14,1300000,18000,9700000,13100,1,0,0,0,0,0,0
6925603608855579909,111.0,2,4,6741493943529456646,0,34,397000,9700000,185,259,6925603571203377926,1,27,27,23700,2352,227100,291,7,1,0,1,1,1,0
6943364119315647750,77.0,23,2,6822935240471364613,0,19,2200000,38700000,72,269,6943363888817785606,1,43,43,589200,10300,3200000,2407,5,1,0,0,0,0,0
6940289313242483973,118.0,16,1,6900364699089028101,0,9230,74100,395900,75,2553,6940289117276146437,1,25,25,38200,7495,499600,1006,10,1,0,1,1,0,1
6920975819758193925,93.0,15,5,6794477228320293894,0,76,237700,3800000,16,4333,6920975848782727942,1,15,15,21900,18,340100,28,3,1,0,0,0,0,0
6935873609302887685,48.0,18,3,6663189721033834502,1,96,1600000,96900000,1375,51,6815503124690634753,0,21,11,39500,161,216100,137,4,1,0,0,0,1,0
6943743178910600454,68.0,23,3,6932586941569647622,0,47,36400,1300000,273,90,6806708221626108677,1,15,10,474000,29600,3900000,2624,4,0,0,0,0,0,0
6939713942038023430,46.0,3,0,6663050714829570053,0,2470,8600000,180300000,661,13200,6906986843397524229,1,41,41,165600,8189,1300000,2862,2,0,0,0,0,0,0
6944478875606863110,15.0,23,5,6773467345425335301,0,1642,190700,3400000,129,5252,6944478896007990021,1,24,24,627400,1565,3600000,5260,2,1,0,0,0,0,0
6940209492227329286,65.0,11,1,6935052191833146374,0,16,1300000,12500000,66,2,6780633792110397442,0,60,14,44800,98,592400,95,2,1,0,0,0,0,0
6941756307753979141,51.0,15,5,6717605707069490181,0,212,431700,11800000,303,11000,6941756098948926214,1,18,18,250600,1511,2700000,1246,1,0,0,0,0,0,0
6942962027505700102,32.0,21,1,6646764999833403398,1,115,13200000,794400000,3299,445,6942961848513809157,1,9,9,118400,2082,938900,540,0,0,0,0,0,0,0
6938209022361259269,6.0,1,3,6938203227649328133,0,0,239400,2300000,18,11,6938208961304759046,1,45,45,71700,138,450400,326,0,0,0,0,0,0,0
6943997662261677318,90.0,16,4,6629488650202464262,0,1612,1300000,27200000,1049,39500,6943997504686000901,1,23,23,101600,22200,610300,1266,3,0,0,0,0,0,1
6933753415323503877,100.0,1,5,6917890014760993798,0,0,366200,4400000,117,130,6933753351582632710,1,13,13,123600,813,830700,631,9,1,1,0,0,0,0
6943007349179190533,76.0,0,2,6620449433631965190,0,337,12300,420500,332,17200,6894105713149217542,1,10,9,16800,317,124600,203,5,1,0,0,0,0,0
6942204198138301701,17.0,20,6,6884761006918452229,0,337,2892,658200,221,30800,6942204087693757190,1,5,5,444200,15500,3500000,4739,3,1,0,0,0,1,0
6944042860387863814,7.0,22,4,6939558848949847046,0,1,66200,2400000,79,137,6944085817774164741,1,54,54,570000,321,3500000,510,1,0,0,0,0,0,0
6937480827550878981,67.0,2,1,6745404130636022789,1,235,5300000,95200000,1210,22400,6834975092238190594,0,30,14,27000,127,695400,295,4,0,0,0,0,0,0
6944789968363457797,114.0,19,6,6814285706996958213,0,9074,56300,674800,938,39300,6919586308247522053,0,29,10,8293,104,289300,484,14,1,0,1,0,0,0
6938844472579017989,121.0,19,4,6871790106334184454,0,29,22100,434900,337,1895,6884523487445240578,1,10,9,2956,18,163400,43,9,1,1,0,0,0,0
6941481466085903622,0.0,21,4,6924875752527053829,0,11,761200,15700000,75,154,6941481338541230854,1,32,33,4600000,22200,46300000,10900,0,0,0,0,0,0,0
6945563700593954053,37.0,21,1,6810156166883165190,0,56,4400000,126000000,274,26200,6945563628930288390,1,18,18,349200,284,1600000,845,0,0,0,0,0,0,0
6945950389434928390,98.0,22,2,6706840535297180677,0,1059,1800000,87100000,688,65500,6939686892094982917,1,30,15,1600000,7347,6500000,0,0,0,0,0,0,0,0
6945217764869164293,0.0,23,0,6748901579938350086,0,963,6841,293500,28,13000,6586947002464996102,0,166,11,291600,29700,3200000,4447,0,0,0,0,0,0,0
6935244953958255878,28.0,2,2,9722689,0,26,193100,5800000,796,364,6807984440287955717,1,22,21,524400,7597,15000000,1555,4,0,1,0,1,0,0
6936866137795857670,14.0,11,6,6924272833845789702,0,1,558700,10100000,73,84,6936866028831984389,1,12,12,1500000,25000,6400000,39100,2,0,0,0,0,0,0
6942625576658275590,49.0,23,0,6691760796600648710,1,8408,9900000,211800000,758,6811,6942625313373522693,1,30,30,231300,284,1900000,881,1,0,0,1,0,0,0
6942631678678535430,20.0,23,0,6661306431852298246,0,2744,8768,832900,119,70700,6870003341682952965,1,57,11,746400,17800,2500000,23900,0,0,0,0,0,0,0
6936609529031331078,34.0,18,5,6670873483956420613,0,31,5600000,98100000,900,237,6842582526297393154,0,31,20,36800,42,332000,461,0,0,0,0,0,0,0
6944097284808346885,136.0,22,4,6747757156818502661,0,30,75900,2300000,141,6798,6925658290315593729,0,60,16,1200000,110300,7200000,38000,10,0,0,0,0,0,0
6944391544917019909,16.0,17,5,6941840256077743110,0,38,5661,15400,5,57,6918098257289792262,1,13,13,14400,1027,146700,3840,1,0,0,0,0,0,0
6939675190917876993,76.0,0,0,319561313125269504,1,78,25400000,515800000,1248,5022,6782913875441371138,0,60,13,550400,1129,4800000,1517,3,0,0,0,0,1,0
6933955744614272261,55.0,14,5,6700343527676740613,1,24,7000000,85800000,366,228,6777274113254754306,0,85,14,192400,459,2300000,692,4,0,0,0,0,0,0
6940658106888195334,140.0,16,2,6859146133466842117,0,16,2200000,25700000,279,3458,6759595063400990722,0,37,59,8015,253,532400,264,10,1,0,1,0,0,0
6942988182141062405,58.0,23,1,6818001430747677702,0,489,67200,4000000,4,2767,6941089413518609157,1,45,32,3900000,8574,22700000,16500,2,0,0,0,0,0,0
6940341169377365254,51.0,19,1,6902268681168389125,0,17,104700,741100,486,1264,6939308759978167045,1,15,15,13600,2154,161300,235,7,1,0,0,1,0,0
6938136712358989062,86.0,21,2,6806407646964171782,0,2074,1200000,34800000,768,24500,6938136656985770758,1,17,17,11100,6,165100,120,3,0,0,0,0,0,0
6939599935801281797,35.0,19,6,6670873483956420613,0,31,5600000,98100000,900,237,6896285439846910721,1,11,10,28600,21,360200,189,1,0,0,0,0,0,0
6940453907776900357,63.0,3,2,6857345283765273605,0,5709,40300,1300000,185,14100,230838890159554560,0,30,14,292900,14400,2100000,3800,3,0,0,0,0,0,0
6942631985630186757,56.0,23,0,6940436099262284805,0,11,139100,1300000,69,242,6942631736492821254,1,10,10,61900,1645,417000,290,1,0,0,0,0,0,0
6938460300739988741,71.0,18,3,9541384,0,240,185400,3900000,417,31000,6938460245203159813,1,59,59,9955,8,81100,29,4,0,0,0,0,0,0
6944416325708057862,76.0,19,5,6731749039648343046,1,69,39700,735500,68,730,6944416224436701957,1,55,55,75300,226,366400,118,0,0,0,0,0,0,0
6941721430790917382,87.0,13,5,6699204223647187973,0,12,272800,4500000,658,6424,6941721148606466821,1,27,27,244100,12400,1300000,2422,5,0,0,0,0,0,0
6917617181337341185,39.0,14,3,6626035987700531205,1,1,36500000,673600000,1274,9039,6917617183707106050,1,56,56,421900,1307,6400000,3238,2,0,0,0,0,0,0
6938438441122139398,146.0,16,3,6840258933699101701,0,4720,64000,537900,112,12900,6936397941703740166,1,58,59,284300,31400,2000000,6435,13,0,0,0,0,0,0
6945402959001849094,88.0,11,1,6686545074027922437,0,393,751200,9400000,1061,12400,6945402602834184965,1,33,33,66600,12000,561500,750,4,1,0,0,0,0,1
