id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,popular,fyp,foryou,foryoupage,viral,fypシ,funny,xyzbca,comedy,duet,tiktok,fy,parati
6.94E+18,143,5,0,6.81E+18,0,1709,597200,9700000,429,1426,6.94E+18,1,33,33,81000,483,3500000,488,11,1,1,1,0,1,0,0,0,0,0,0,0,0
6.94E+18,68,20,0,6.75E+18,0,175,3100000,75700000,209,1741,6.94E+18,1,57,57,4300000,9620,31400000,14700,4,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,51,18,1,6.80E+18,1,32,13000000,403900000,308,3955,6.74E+18,1,13,13,434900,413,2700000,1143,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,95,23,6,6.93E+18,0,101,47100,1900000,30,328,6.83E+18,0,20,11,1600000,154600,12000000,22100,6,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,44,19,1,6.75E+18,1,581,60700000,1300000000,260,7199,6.83E+18,0,30,8,4800000,30000,30000000,88700,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,1,20,2,6.78E+18,0,2395,110800,2200000,99,10500,6.90E+18,1,10,9,2200000,66500,16100000,11500,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,85,14,1,6.92E+18,0,1852,56600,616300,231,2412,6.60E+18,0,15,16,297700,25500,6700000,1340,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,22,13,0,6.80E+18,1,32,13000000,403900000,308,3955,6.93E+18,1,11,12,300400,421,1600000,1408,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,57,22,1,1.99E+17,1,44,2300000,70000000,450,1343,6.95E+18,1,58,58,185200,2493,746500,1260,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,42,1,2,6.90E+18,0,95,206600,5200000,122,375,6.94E+18,1,9,10,12900,110,408800,374,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,64,22,3,6.52E+18,0,196,878,118800,108,5319,6.94E+18,1,8,9,65100,4228,588200,278,6,1,1,0,0,0,0,0,1,0,0,0,0,0
6.93E+18,48,6,4,6.86E+18,0,987,65700,670100,18,734,6.93E+18,1,14,12,666700,55700,6700000,13100,4,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,68,22,5,6.65E+18,0,617,3900000,71000000,239,18600,1.35E+17,0,14,14,610000,4340,6300000,3292,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,34,8,1,6.69E+18,1,688,17400000,389200000,1973,16900,6.94E+18,1,57,57,3600000,8104,15100000,6595,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,54,23,3,6.74E+18,0,298,1300000,41300000,390,52800,6.94E+18,1,11,11,2400000,27700,9700000,21200,7,1,1,1,0,1,0,0,0,0,0,1,0,0
