id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,fyp,foryou,foryoupage,viral,fypシ,xyzbca
6.93398e+18,57.0,16,5,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.92102e+18,1,10.0,10.0,14100.0,26.0,58000.0,54.0,5,1,0,0,0,0,0
6.93293e+18,43.0,20,2,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.64834e+18,1,13.0,14.0,28000.0,187.0,143500.0,336.0,4,0,0,0,0,0,0
6.93113e+18,44.0,0,5,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.92476e+18,1,15.0,15.0,59700.0,582.0,245400.0,871.0,5,1,1,0,0,0,0
6.92894e+18,61.0,2,6,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.92102e+18,1,10.0,10.0,7699.0,12.0,50500.0,37.0,3,0,0,0,0,0,0
6.92803e+18,99.0,15,3,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.83635e+18,0,55.0,14.0,14800.0,415.0,65200.0,264.0,4,0,0,0,0,0,0
6.92627e+18,47.0,21,5,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.91188e+18,1,18.0,7.0,8846.0,69.0,57900.0,55.0,3,0,0,0,0,0,0
6.92451e+18,67.0,3,1,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.90673e+18,1,12.0,9.0,11400.0,81.0,60300.0,125.0,3,0,0,0,0,0,0
6.92185e+18,55.0,23,0,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.62994e+18,1,7.0,7.0,3313.0,44.0,22700.0,110.0,4,1,0,0,0,0,0
6.92033e+18,32.0,21,3,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.91057e+18,1,8.0,8.0,632800.0,12900.0,3100000.0,9086.0,3,1,0,0,0,0,0
6.91967e+18,48.0,3,2,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.89474e+18,1,49.0,15.0,16400.0,85.0,107500.0,414.0,4,1,0,0,0,0,0
6.91961e+18,37.0,23,1,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.90299e+18,1,10.0,11.0,28800.0,241.0,185900.0,289.0,3,0,0,0,0,0,0
6.94599e+18,22.0,0,3,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.94599e+18,1,38.0,38.0,26000.0,103.0,86800.0,140.0,0,0,0,0,0,0,0
6.94513e+18,10.0,17,0,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.80307e+18,1,9.0,9.0,8956.0,18.0,37500.0,30.0,0,0,0,0,0,0,0
6.94344e+18,4.0,3,3,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.86734e+18,1,5.0,5.0,16300.0,16.0,68900.0,26.0,0,0,0,0,0,0,0
6.94343e+18,29.0,3,3,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.86734e+18,1,5.0,5.0,16000.0,477.0,68300.0,464.0,0,0,0,0,0,0,0
6.94289e+18,3.0,16,1,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.92678e+18,1,4.0,5.0,6941.0,25.0,31800.0,27.0,0,0,0,0,0,0,0
6.94045e+18,57.0,3,2,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.9104e+18,1,37.0,37.0,23900.0,59.0,88500.0,92.0,1,0,0,0,0,0,0
6.93553e+18,8.0,20,2,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.93553e+18,1,14.0,14.0,381800.0,8672.0,1700000.0,7106.0,0,0,0,0,0,0,0
6.93221e+18,25.0,21,0,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.92888e+18,1,15.0,8.0,85000.0,2691.0,224300.0,984.0,0,0,0,0,0,0,0
6.93182e+18,61.0,20,6,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.93182e+18,1,15.0,15.0,33300.0,360.0,123100.0,769.0,0,0,0,0,0,0,0
6.93072e+18,5.0,21,3,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.93072e+18,1,8.0,8.0,28100.0,24.0,114000.0,106.0,0,0,0,0,0,0,0
6.92928e+18,26.0,0,0,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,6.87248e+18,0,60.0,10.0,11900.0,100.0,80200.0,36.0,0,0,0,0,0,0,0
6.91853e+18,37.0,1,6,6.66945e+18,0,233.0,588800.0,22400000.0,219.0,4607.0,5e+18,0,30.0,17.0,14400.0,26.0,63100.0,106.0,0,0,0,0,0,0,0
